filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant,latency_right_screen,latency_left_screen
mc_post_fid1_p1_ADAMS_largeMale_none_barbie_LL.csv,16,ADAMS,p1,mc,fid1,none,post,12.591,101.743,0,24.262,0,24.557,63.26,170.409,16.817,12.591,101.743,300
mc_post_fid1_p1_BALLARD_largeMale_none_barbie_LL.csv,19,BALLARD,p1,mc,fid1,none,post,12.521,101.778,117.532,25.189,1.331,22.96,62.564,168.459,19.357,12.521,101.778,117.532
mc_post_fid1_p1_BAO_largeMale_none_barbie_LL.csv,17,BAO,p1,mc,fid1,none,post,12.625,102.046,0,25.685,0,24.825,62.726,168.258,18.483,12.625,102.046,300
mc_post_fid1_p1_cornish_largeMale_none_barbie_LL.csv,15,cornish,p1,mc,fid1,none,post,12.703,102.021,0,22.958,0,24.827,63.694,170.483,16.816,12.703,102.021,300
mc_post_fid1_p1_CUI_largeMale_none_barbie_LL.csv,15,CUI,p1,mc,fid1,none,post,13.592,103.347,0,16.02,0,24.587,63.031,169.564,17.743,13.592,103.347,300
mc_post_fid1_p2_ADAMS_largeMale_right_barbie_LL.csv,13,ADAMS,p2,mc,fid1,right,post,0,0.047,0,0,0,0,0,291.146,8.807,300,0.047,300
mc_post_fid1_p2_BALLARD_largeMale_right_barbie_LL.csv,13,BALLARD,p2,mc,fid1,right,post,0,0.233,0,0,0,0,0,287.488,12.279,300,0.233,300
mc_post_fid1_p2_BAO_largeMale_right_barbie_LL.csv,15,BAO,p2,mc,fid1,right,post,0,0.841,0,0,0,0,0,288.122,10.948,300,0.841,300
mc_post_fid1_p2_cornish_largeMale_right_barbie_LL.csv,1,cornish,p2,mc,fid1,right,post,0,3.118,0,0,0,0,0,296.836,0,300,3.118,300
mc_post_fid1_p2_CUI_largeMale_right_barbie_LL.csv,1,CUI,p2,mc,fid1,right,post,0,0.973,0,0,0,0,0,299.027,0,300,0.973,300
mc_post_fid1_p3_ADAMS_largeMale_left_barbie_LL.csv,42,ADAMS,p3,mc,fid1,left,post,215.819,0.023,201.409,10.947,8.804,20.291,6.205,207.022,46.708,215.819,0.023,201.409
mc_post_fid1_p3_BALLARD_largeMale_left_barbie_LL.csv,49,BALLARD,p3,mc,fid1,left,post,215.753,0.37,201.342,9.613,9.072,23.493,8.541,201.938,46.973,215.753,0.37,201.342
mc_post_fid1_p3_BAO_largeMale_left_barbie_LL.csv,58,BAO,p3,mc,fid1,left,post,215.721,0.475,201.308,7.473,8.673,20.013,14.426,204.06,44.88,215.721,0.475,201.308
mc_post_fid1_p3_cornish_largeMale_left_barbie_LL.csv,37,cornish,p3,mc,fid1,left,post,215.465,1.286,201.582,5.333,11.477,16.823,15.752,216.221,33.108,215.465,1.286,201.582
mc_post_fid1_p3_CUI_largeMale_left_barbie_LL.csv,34,CUI,p3,mc,fid1,left,post,215.619,1.641,201.473,7.21,8.272,23.248,9.885,215.198,34.546,215.619,1.641,201.473
mc_post_fid10_p1_ADAMS_largeMale_none_alyssa_INT.csv,56,ADAMS,p1,mc,fid10,none,post,0.023,53.992,10.214,26.782,140.941,38.709,27.814,38.435,27.201,0.023,53.992,10.214
mc_post_fid10_p1_BALLARD_largeMale_none_alyssa_INT.csv,53,BALLARD,p1,mc,fid10,none,post,0.973,54.358,10.048,22.42,144.677,37.373,29.628,38.439,26.49,0.973,54.358,10.048
mc_post_fid10_p1_BAO_largeMale_none_alyssa_INT.csv,53,BAO,p1,mc,fid10,none,post,0.339,54.293,10.218,27.523,141.743,37.636,26.864,37.365,28.439,0.339,54.293,10.218
mc_post_fid10_p1_cornish_largeMale_none_alyssa_INT.csv,46,cornish,p1,mc,fid10,none,post,2.618,54.003,10.092,10.511,157.129,23.448,38.621,43.37,24.249,2.618,54.003,10.092
mc_post_fid10_p1_CUI_largeMale_none_alyssa_INT.csv,45,CUI,p1,mc,fid10,none,post,1.776,54.36,10.316,17.092,152.156,32.833,29.63,38.882,27.54,1.776,54.36,10.316
mc_post_fid10_p2_ADAMS_largeMale_right_alyssa_INT.csv,17,ADAMS,p2,mc,fid10,right,post,293.473,0.647,296.676,0,2.674,2.518,1.335,169.44,123.386,293.473,0.647,296.676
mc_post_fid10_p2_BALLARD_largeMale_right_alyssa_INT.csv,28,BALLARD,p2,mc,fid10,right,post,293.507,0.714,296.443,0,3.557,1.602,1.334,271.971,20.822,293.507,0.714,296.443
mc_post_fid10_p2_BAO_largeMale_right_alyssa_INT.csv,28,BAO,p2,mc,fid10,right,post,294.043,1.816,296.779,0.864,2.667,2.424,0.532,271.74,19.957,294.043,1.816,296.779
