time,code,class
0.339, m,1
4.88, d,1
5.944, o,1
10.218, p,1
16.623, o,1
18.492, d,1
19.026, m,1
27.571, d,1
30.234, o,1
34.778, p,1
43.318, o,1
45.187, d,1
47.621, m,1
51.357, s,1
54.293,a,1
56.695, s,1
60.965, d,1
64.708, o,1
67.372, p,1
74.314, o,1
76.718, d,1
78.32, m,1
88.362, d,1
89.429, o,1
92.366, p,1
121.196, o,1
121.73, p,1
142.016, o,1
145.219, p,1
162.037, o,1
165.505, d,1
168.707, s,1
174.585,a,1
182.856, s,1
184.723, d,1
186.594, o,1
188.73, p,1
213.023, o,1
214.886, d,1
218.623, s,1
220.226,a,1
222.631, s,1
226.367,a,1
235.441, s,1
240.247, d,1
243.183, o,1
245.851, p,1
275.48, o,1
278.683, d,1
281.353, s,1
283.756,a,1
298.969, s,1
299.909,a,1
299.909,END,0
