time,code,class
2.983,m,1
7.619,o,1
14.694,d,1
15.763,o,1
18.699,m,1
22.837,s,1
26.573,a,1
30.844,s,1
32.978,m,1
36.183,o,1
38.318,p,1
43.122,o,1
45.659,m,1
48.194,s,1
50.998,a,1
55.267,s,1
60.74,d,1
62.877,o,1
66.211,p,1
71.016,o,1
72.751,d,1
74.888,s,1
80.36,a,1
85.697,s,1
87.834,m,1
90.636,o,1
91.971,p,1
96.775,o,1
97.31,p,1
108.787,o,1
112.526,m,1
115.462,s,1
117.062,a,1
119.2,s,1
121.333,a,1
131.21,s,1
133.346,d,1
136.15,o,1
138.817,p,1
155.901,o,1
158.439,m,1
164.712,o,1
170.983,m,1
175.12,s,1
176.321,a,1
300.465,END,0
