time,code,class
4.862, m,1
7.799, o,1
14.737, d,1
17.139, o,1
18.741, m,1
23.815, d,1
24.082, s,1
26.482,a,1
31.287, s,1
33.693, m,1
36.895, d,1
37.428, o,1
38.228, p,1
43.566, o,1
45.435, d,1
46.235, m,1
48.905, d,1
49.438, s,1
51.04,a,1
55.577, s,1
60.921, d,1
63.854, o,1
66.524, p,1
71.594, o,1
72.666, d,1
75.2, s,1
80.536,a,1
85.611, s,1
87.947, d,1
88.477, m,1
90.347, d,1
91.147, o,1
92.75, p,1
97.022, o,1
98.621, p,1
106.362, o,1
106.629, p,1
108.768, o,1
111.97, d,1
112.769, m,1
114.905, d,1
115.705, s,1
117.04,a,1
119.174, s,1
121.311,a,1
131.454, s,1
133.86, d,1
136.792, o,1
138.93, p,1
149.073, o,1
151.206, p,1
156.278, o,1
158.68, m,1
165.692, d,1
165.961, o,1
168.36, p,1
170.227, o,1
172.363, d,1
174.229, m,1
175.297, s,1
176.632,a,1
180.104, s,1
181.171,a,1
198.787, s,1
199.857,a,1
203.596, s,1
204.126,a,1
229.351, s,1
230.152,a,1
247.236, s,1
254.876,a,1
0,END,0
