time,code,class
3.826,m,1
6.763,d,1
7.296,o,1
14.503,d,1
16.372,o,1
17.707,d,1
19.045,m,1
23.312,s,1
24.914,a,1
30.787,s,1
32.656,d,1
33.189,m,1
36.659,o,1
38.06,p,1
43.132,o,1
45.801,m,1
48.47,s,1
51.143,a,1
55.411,s,1
60.751,d,1
63.152,o,1
66.355,p,1
70.894,o,1
72.494,d,1
74.363,s,1
80.502,a,1
85.846,s,1
87.444,d,1
88.243,m,1
90.646,o,1
91.981,p,1
96.788,o,1
97.587,p,1
108.798,o,1
111.202,d,1
112.804,m,1
115.472,s,1
116.809,a,1
118.941,s,1
121.343,a,1
130.954,s,1
133.092,d,1
136.028,o,1
138.961,p,1
156.045,o,1
158.181,m,1
164.586,o,1
170.46,d,1
170.728,m,1
174.197,s,1
176.599,a,1
179.535,s,1
180.068,a,1
197.953,s,1
199.558,a,1
300.317,END,0
