time,code,class
0.023,m,1
7.556,o,1
14.226,d,1
18.5,m,1
23.037,s,1
24.643,a,1
30.511,s,1
32.913,m,1
35.852,o,1
37.985,p,1
43.058,o,1
45.725,d,1
46.26,m,1
48.667,s,1
50.795,a,1
55.335,s,1
60.674,d,1
62.812,o,1
66.011,p,1
71.086,o,1
72.419,d,1
74.019,s,1
80.161,a,1
84.964,s,1
87.371,d,1
87.634,m,1
90.305,o,1
91.903,p,1
96.445,o,1
97.513,p,1
108.458,o,1
112.195,m,1
115.395,s,1
116.728,a,1
119.133,s,1
121.003,a,1
130.88,s,1
133.016,d,1
136.215,o,1
138.884,p,1
155.835,o,1
157.977,m,1
164.642,o,1
167.582,p,1
168.116,o,1
170.518,m,1
174.254,d,1
174.787,s,1
175.588,a,1
179.594,s,1
180.392,a,1
186.264,s,1
186.801,a,1
190.81,s,1
191.603,a,1
196.676,s,1
199.079,a,1
203.081,s,1
203.618,a,1
228.979,s,1
229.781,a,1
300.421,END,0
