time,code,class
0,o,1
0.32,m,1
5.527,s,1
7.127,m,1
10.13,o,1
11.598,p,1
14.969,o,1
16.703,p,1
19.372,o,1
20.44,p,1
32.318,o,1
34.322,p,1
46.634,o,1
50.804,d,1
52.54,s,1
54.009,a,1
55.008,s,1
57.144,m,1
59.279,o,1
64.818,p,1
78.801,o,1
79.2,p,1
82.536,o,1
84.171,p,1
86.975,o,1
89.378,d,1
91.244,s,1
96.449,d,1
100.054,s,1
103.391,d,1
105.127,o,1
108.529,p,1
110.398,o,1
111.998,d,1
113.733,s,1
116.805,a,1
121.074,s,1
121.541,a,1
132.853,s,1
134.056,a,1
145.666,s,1
146.065,a,1
177.432,s,1
177.965,a,1
300.565,END,0
