time,code,class
2.075,a,1
8.22, s,1
9.82, d,1
10.62, m,1
14.087, d,1
18.092, o,1
19.96, p,1
22.095, o,1
24.767, d,1
26.367, s,1
28.77,a,1
30.638, s,1
36.243, d,1
36.781, m,1
40.784, d,1
41.319, o,1
43.45, p,1
48.789, o,1
51.458, d,1
51.726, m,1
56.263, d,1
57.065, s,1
59.733,a,1
65.609, s,1
68.543, d,1
69.61, o,1
70.145, p,1
77.084, o,1
80.821, d,1
90.401, o,1
93.067, p,1
107.484, o,1
109.349, p,1
116.023, o,1
118.159, d,1
120.294, s,1
125.365,a,1
127.238, s,1
132.842, d,1
135.242, o,1
138.178, p,1
145.653, o,1
146.989, p,1
152.325, o,1
153.13, p,1
158.737, o,1
161.137, d,1
165.407, s,1
166.478,a,1
170.479, s,1
170.746,a,1
181.155, s,1
185.159, d,1
187.828, o,1
189.697, p,1
199.043, o,1
201.708, d,1
202.245, m,1
208.116, d,1
209.451, s,1
213.187,a,1
216.924, s,1
218.527, d,1
219.594, m,1
220.928, d,1
221.194, o,1
225.202, p,1
225.468, o,1
227.869, d,1
228.673, m,1
231.338, d,1
237.21, s,1
240.684,a,1
242.016, s,1
242.816,a,1
269.509, s,1
270.845, d,1
274.315, o,1
277.785, p,1
287.93, o,1
288.198, p,1
293.624, o,1
297.646, d,1
300.12, s,1
300.12,END,0
