time,code,class
0.398,a,1
7.872,s,1
9.341,m,1
15.613,o,1
19.818,p,1
21.552,o,1
24.621,d,1
25.689,s,1
28.626,a,1
30.028,s,1
36.034,m,1
40.571,o,1
42.441,p,1
47.711,o,1
51.282,m,1
56.454,s,1
59.525,a,1
63.56,s,1
67.166,d,1
68.366,o,1
70.101,p,1
76.441,o,1
80.077,m,1
89.053,o,1
91.958,p,1
106.505,o,1
108.64,p,1
115.381,o,1
117.748,d,1
119.785,s,1
124.889,a,1
126.691,a,1
130.295,m,1
134.199,o,1
137.537,p,1
144.776,o,1
145.977,p,1
150.849,o,1
152.618,p,1
157.687,o,1
159.79,d,1
163.396,s,1
166.231,a,1
169.434,s,1
170.37,a,1
180.311,s,1
184.782,d,1
186.784,o,1
189.322,p,1
197.829,o,1
201.066,m,1
207.939,s,1
212.578,a,1
216.682,s,1
218.115,m,1
220.252,o,1
221.586,p,1
222.185,o,1
223.388,p,1
224.323,o,1
226.992,d,1
227.791,m,1
235.733,s,1
240.205,a,1
241.506,s,1
242.707,a,1
268.865,s,1
270.335,d,1
273.77,o,1
277.374,p,1
286.184,o,1
287.25,p,1
292.556,o,1
296.327,d,1
299.498,s,1
299.988,END,0
