time,code,class
2.543,a,1
7.882,s,1
10.017,m,1
17.224,o,1
22.062,o,1
24.998,d,1
25.8,s,1
28.735,a,1
31.138,s,1
36.21,d,1
37.011,m,1
40.748,o,1
43.417,p,1
47.955,o,1
51.426,m,1
57.032,s,1
59.704,a,1
64.772,s,1
67.442,d,1
68.509,o,1
70.644,p,1
72.45,p,1
76.987,o,1
80.455,d,1
81.255,m,1
88.996,o,1
92.466,p,1
115.691,o,1
117.824,d,1
119.693,s,1
126.633,a,1
126.9,s,1
130.638,d,1
134.379,o,1
138.649,p,1
145.052,o,1
146.387,p,1
157.865,o,1
160,d,1
163.204,s,1
165.875,a,1
180.958,s,1
184.959,s,1
186.026,d,1
187.363,o,1
189.497,p,1
198.574,o,1
201.508,m,1
208.987,s,1
212.986,a,1
216.758,s,1
218.628,d,1
219.16,m,1
220.493,o,1
221.027,p,1
222.629,o,1
223.43,p,1
223.965,o,1
227.168,d,1
228.501,m,1
232.205,d,1
235.142,m,1
236.477,s,1
240.484,a,1
242.116,s,1
242.916,a,1
269.176,s,1
270.777,d,1
273.716,o,1
277.55,p,1
286.863,o,1
288.465,p,1
294.169,o,1
297.217,m,1
298.436,d,1
299.652,s,1
299.965,END,0
