time,code,class
0.023, p,1
15.098, o,1
15.898, p,1
34.049, o,1
35.651, p,1
42.596, o,1
46.329, d,1
48.197, s,1
49.8,a,1
58.346, s,1
59.542, d,1
60.876, m,1
61.411, d,1
62.211, o,1
63.545, p,1
66.749, o,1
68.618, d,1
69.42, m,1
70.22, d,1
71.289, s,1
72.626,a,1
83.834, s,1
84.37, d,1
86.502, o,1
88.108, p,1
96.112, o,1
97.182, d,1
98.251, s,1
100.386,a,1
105.455, s,1
108.392, d,1
108.928, s,1
110.53,a,1
113.765, s,1
115.367, d,1
116.432, m,1
116.967, d,1
117.501, o,1
118.834, p,1
121.507, o,1
123.109, d,1
123.91, m,1
125.244, d,1
126.044, s,1
128.178,a,1
138.055, s,1
139.655, d,1
141.257, o,1
142.059, p,1
153.273, o,1
154.608, d,1
155.409, s,1
157.809,a,1
187.706, s,1
189.309, d,1
191.442, o,1
192.51, p,1
195.177, o,1
196.512, d,1
197.313, s,1
199.449,a,1
230.946, s,1
232.548, d,1
234.417, o,1
236.287, p,1
244.293, o,1
245.896, d,1
246.696, s,1
248.034,a,1
253.638, s,1
257.109,a,1
261.11, s,1
262.712,a,1
270.187, s,1
271.787, d,1
273.388, o,1
275.525, p,1
276.859, o,1
277.93, d,1
279.53, s,1
280.863,a,1
303.154,END,0
