time,code,class
1.208,a,1
4.83,s,1
6.432,d,1
7.498,o,1
8.835,p,1
21.645,o,1
22.981,d,1
24.314,s,1
25.648,a,1
26.715,s,1
28.321,d,1
29.923,o,1
31.521,p,1
38.195,o,1
41.398,d,1
42.464,s,1
44.066,a,1
61.685,s,1
62.486,d,1
63.554,o,1
64.354,p,1
65.69,o,1
68.094,d,1
69.693,s,1
72.63,a,1
74.763,s,1
75.565,a,1
77.703,s,1
78.502,a,1
80.637,s,1
81.176,a,1
92.383,s,1
93.985,a,1
101.591,s,1
103.461,d,1
104.528,o,1
105.862,p,1
109.334,o,1
110.468,p,1
113.672,o,1
114.204,p,1
117.942,o,1
118.206,p,1
130.22,o,1
130.753,p,1
161.991,o,1
162.254,p,1
182.54,o,1
183.605,p,1
185.743,o,1
186.01,p,1
193.218,o,1
193.487,p,1
199.622,o,1
199.889,p,1
204.695,o,1
204.96,p,1
211.637,o,1
212.169,p,1
216.173,o,1
217.242,p,1
221.247,o,1
222.312,p,1
227.386,o,1
228.183,p,1
231.391,o,1
233.525,p,1
234.857,o,1
238.861,p,1
241.264,o,1
242.066,p,1
243.668,o,1
244.736,p,1
246.87,o,1
247.672,p,1
255.681,o,1
257.014,p,1
259.686,o,1
260.216,p,1
265.024,o,1
266.355,p,1
276.234,o,1
277.3,p,1
282.374,o,1
282.908,p,1
288.779,o,1
289.578,p,1
291.982,o,1
292.518,p,1
300.122,o,1
300.122,p,1
300.122,END,0
