time,code,class
0.15,o,1
0.413,p,1
0.947,p,1
16.23,o,1
19.3,m,1
21.701,s,1
23.169,a,1
26.039,s,1
27.241,d,1
28.575,o,1
29.644,p,1
31.511,o,1
32.714,p,1
34.98,o,1
36.582,p,1
56.268,o,1
58.471,d,1
60.341,s,1
62.076,a,1
63.609,s,1
65.346,a,1
72.152,s,1
73.753,d,1
74.954,o,1
76.424,p,1
78.291,o,1
79.225,d,1
80.827,s,1
82.696,a,1
85.499,s,1
86.966,a,1
94.741,s,1
96.743,d,1
97.948,o,1
99.412,p,1
102.081,o,1
104.218,d,1
105.551,s,1
107.153,a,1
109.156,s,1
110.224,a,1
115.928,s,1
116.729,a,1
131.679,s,1
134.215,d,1
136.084,o,1
139.787,d,1
141.121,s,1
142.59,a,1
144.057,s,1
145.259,a,1
156.737,s,1
157.003,a,1
175.723,s,1
180.661,a,1
208.988,s,1
210.724,a,1
226.607,s,1
227.94,a,1
250.929,s,1
253.332,a,1
277.891,s,1
278.292,a,1
288.433,s,1
290.702,a,1
299.845,END,0
