time,code,class
0.023,p,1
13.226,o,1
14.029,p,1
16.965,o,1
20.168,m,1
22.035,s,1
23.102,a,1
26.573,s,1
27.643,d,1
28.975,o,1
29.776,p,1
31.914,o,1
32.714,p,1
35.65,o,1
36.984,p,1
49.796,o,1
50.064,p,1
56.471,p,1
57.005,o,1
58.872,d,1
60.472,s,1
62.344,a,1
64.214,s,1
65.545,a,1
72.484,s,1
73.819,d,1
74.888,o,1
76.491,p,1
78.358,o,1
79.425,d,1
81.027,s,1
83.431,a,1
85.831,s,1
87.169,a,1
89.303,s,1
89.835,a,1
95.177,s,1
96.776,d,1
98.113,o,1
99.445,p,1
102.381,o,1
104.253,d,1
105.586,s,1
107.187,a,1
109.595,s,1
110.389,a,1
116.531,s,1
116.799,a,1
132.013,s,1
134.415,d,1
136.285,o,1
139.756,d,1
141.354,s,1
142.422,a,1
144.291,s,1
145.36,a,1
156.835,s,1
157.369,a,1
176.323,s,1
180.595,a,1
189.936,s,1
190.206,a,1
209.424,a,1
209.691,s,1
210.756,a,1
226.773,s,1
228.374,a,1
242.522,s,1
243.058,a,1
247.06,s,1
247.861,a,1
251.33,s,1
253.736,a,1
256.67,s,1
257.47,a,1
278.292,s,1
278.561,a,1
288.436,s,1
290.569,a,1
300.318,END,0
