time,code,class
1.664,a,1
10.792,s,1
11.329,a,1
34.014,s,1
34.546,a,1
38.02,s,1
38.551,a,1
52.966,s,1
53.234,a,1
72.988,s,1
73.252,a,1
103.148,s,1
103.949,a,1
107.955,s,1
108.489,a,1
119.432,s,1
121.573,a,1
143.723,s,1
144.527,a,1
146.926,s,1
147.46,a,1
153.334,s,1
154.4,a,1
175.489,s,1
176.291,a,1
181.362,s,1
181.899,a,1
191.236,s,1
192.839,a,1
197.914,s,1
198.714,a,1
201.648,s,1
202.714,a,1
218.736,s,1
219.533,a,1
223.808,s,1
224.074,a,1
226.738,s,1
227.274,a,1
265.178,s,1
266.779,a,1
301.144,END,0
