time,code,class
0.653,a,1
38.556, s,1
42.026, d,1
43.628, o,1
45.23, p,1
51.902, o,1
56.707, p,1
118.402, o,1
125.344, d,1
128.011, s,1
131.748,a,1
136.557, s,1
137.891,a,1
142.693, s,1
146.932, d,1
149.869, o,1
152.003, d,1
157.343, s,1
159.746,a,1
161.612, s,1
162.951,a,1
166.75, s,1
169.686, d,1
174.494, o,1
180.365, p,1
183.567, o,1
185.702, d,1
194.248, s,1
200.65,a,1
202.787, s,1
206.526, d,1
208.661, o,1
211.332, p,1
218.001, o,1
221.204, d,1
221.472, m,1
225.475, d,1
228.146, m,1
230.814, d,1
232.683, o,1
236.152, d,1
237.757, m,1
240.962, d,1
242.828, s,1
246.433,a,1
250.166, s,1
252.202, d,1
260.146, o,1
266.284, p,1
269.221, o,1
270.821, d,1
271.624, m,1
272.957, d,1
274.028, o,1
285.237, p,1
288.906, o,1
291.028, p,1
300.106,END,0
