time,code,class
0.023, s,1
2.048, d,1
2.581, m,1
4.45, d,1
4.983, o,1
9.254, p,1
12.724, o,1
14.863, d,1
15.664, m,1
17.265, d,1
18.865, s,1
21.266,a,1
23.934, s,1
24.736,a,1
40.484, s,1
42.089,a,1
51.965, s,1
53.298,a,1
60.338, s,1
64.075, d,1
67.548, o,1
70.483, p,1
75.786, o,1
76.42, d,1
78.556, s,1
79.09,a,1
124.307, s,1
124.307,a,1
151.063, s,1
155.066,a,1
236.886, s,1
238.016,a,1
247.098, s,1
248.831,a,1
273.918, s,1
276.754, d,1
280.758, o,1
283.028, p,1
287.665, o,1
296.887, d,1
299.638, s,1
299.638,a,1
299.638,END,0
