time,code,class
0.503,a,1
2.372, s,1
2.908,a,1
60.765, s,1
62.465,a,1
81.924, s,1
84.254,a,1
88.66, s,1
89.795, d,1
91.495, o,1
92.628, p,1
94.931, o,1
96.633, d,1
99.171, s,1
100.873,a,1
152.555, s,1
154.26, d,1
155.424, o,1
156.566, p,1
165.736, o,1
167.47, d,1
169.171, s,1
172.008,a,1
174.31, s,1
176.017, d,1
177.715, o,1
181.117, p,1
186.789, o,1
187.924, d,1
189.629, s,1
190.764,a,1
213.051, s,1
214.185,a,1
227.897, s,1
229.599,a,1
238.743, s,1
239.877,a,1
270.574, s,1
271.144,a,1
300.095, s,1
300.095,END,0
