time,code,class
0,a,1
59.386,s,1
61.387,a,1
80.74,s,1
83.675,a,1
86.345,s,1
89.282,d,1
90.617,o,1
91.95,p,1
93.152,o,1
95.956,d,1
97.557,s,1
99.292,a,1
151.245,s,1
153.247,d,1
154.714,o,1
156.183,p,1
164.591,o,1
166.994,d,1
168.461,s,1
171.399,a,1
173.666,s,1
175.535,d,1
177.136,o,1
181.142,p,1
186.514,o,1
187.448,d,1
188.781,s,1
190.65,a,1
211.838,s,1
212.906,a,1
226.587,s,1
229.257,a,1
237.463,s,1
239.198,a,1
268.462,s,1
270.063,a,1
279.705,s,1
282.508,a,1
298.157,s,1
300.03,END,0
