time,code,class
0.023, s,1
8.33, d,1
11.265, m,1
16.772, d,1
18.472, o,1
25.847, d,1
28.716, s,1
29.851,a,1
33.258, s,1
36.662, d,1
39.526, o,1
43.497, p,1
51.44, o,1
54.31, d,1
56.012, m,1
63.987, d,1
65.722, s,1
68.557,a,1
75.971, s,1
80.001, d,1
82.84, m,1
86.808, d,1
88.51, o,1
91.913, p,1
102.723, o,1
105.593, d,1
107.867, s,1
110.702,a,1
127.849, s,1
130.684, d,1
134.089, o,1
136.157, p,1
140.161, o,1
142.999, d,1
144.699, m,1
150.407, d,1
150.979, s,1
153.279,a,1
161.856, s,1
163.056,a,1
171.061, s,1
172.76, d,1
176.765, o,1
180.204, p,1
194.423, o,1
197.319, p,1
212.738, o,1
214.436, d,1
215.57, m,1
239.026, d,1
240.164, s,1
242.431,a,1
246.403, s,1
248.101, d,1
250.378, o,1
255.647, d,1
256.779, m,1
261.92, d,1
263.084, s,1
267.622,a,1
273.862, s,1
276.731, d,1
279.575, o,1
282.436, p,1
293.897, o,1
294.578, p,1
300.061,END,0
