time,code,class
0.17,s,1
7.885,d,1
10.021,m,1
17.261,o,1
24.502,d,1
27.471,s,1
29.339,a,1
32.476,s,1
35.98,d,1
39.316,o,1
43.854,p,1
50.628,o,1
53.864,m,1
63.707,s,1
67.978,a,1
73.75,s,1
79.49,d,1
82.026,m,1
87.531,o,1
91.135,p,1
93.437,o,1
94.905,p,1
99.877,o,1
104.781,d,1
106.917,s,1
110.021,a,1
124.969,s,1
129.64,d,1
133.377,o,1
136.18,p,1
139.55,o,1
142.519,m,1
149.86,s,1
154.398,a,1
160.337,s,1
162.339,a,1
168.946,s,1
172.049,d,1
175.252,o,1
178.055,p,1
192.903,o,1
196.206,p,1
210.821,o,1
213.491,m,1
237.914,s,1
242.386,a,1
245.422,s,1
247.525,d,1
249.66,o,1
255.132,m,1
262.105,s,1
267.244,a,1
272.949,s,1
276.586,d,1
278.856,o,1
281.625,p,1
290.033,o,1
293.303,p,1
299.81,END,0
