time,code,class
1.341,p,1
52.425,o,1
59.632,d,1
64.404,s,1
65.738,a,1
69.609,s,1
76.049,d,1
77.783,o,1
82.922,p,1
86.292,o,1
89.429,d,1
91.698,s,1
96.102,a,1
100.973,s,1
103.843,a,1
110.984,s,1
116.99,d,1
120.059,o,1
122.728,p,1
126.566,o,1
133.005,d,1
135.007,s,1
139.945,a,1
144.116,s,1
148.521,d,1
152.191,o,1
152.992,p,1
173.346,o,1
173.613,p,1
176.582,o,1
195.802,p,1
197.804,o,1
199.906,d,1
201.774,s,1
202.842,a,1
205.277,s,1
207.58,d,1
208.514,o,1
209.048,p,1
213.086,o,1
216.689,d,1
219.625,s,1
223.463,a,1
223.996,s,1
227.333,s,1
229.268,o,1
232.605,p,1
237.176,o,1
239.178,p,1
246.151,o,1
248.287,p,1
256.095,o,1
261.734,p,1
266.572,o,1
268.708,p,1
271.744,o,1
272.812,p,1
276.649,o,1
281.22,p,1
288.528,o,1
291.597,p,1
299.856,END,0
