time,code,class
0.023,p,1
4.244,o,1
5.846,d,1
6.38,s,1
6.646,a,1
11.185,s,1
14.388,d,1
17.591,s,1
19.462,d,1
40.012,s,1
46.42,d,1
50.424,o,1
54.962,d,1
56.029,m,1
62.436,s,1
63.503,a,1
67.773,s,1
69.109,a,1
112.619,s,1
116.356,a,1
147.054,s,1
155.595,m,1
172.144,o,1
174.814,d,1
178.552,m,1
188.962,s,1
197.237,d,1
198.04,m,1
202.042,o,1
213.786,m,1
227.4,d,1
229.269,s,1
232.205,a,1
234.608,s,1
238.879,d,1
239.679,m,1
246.62,o,1
252.492,d,1
254.361,s,1
258.899,a,1
262.905,s,1
267.441,d,1
270.911,o,1
273.847,p,1
278.384,o,1
280.52,p,1
299.874,END,0
