time,code,class
0.37,a,1
19.823, s,1
20.627,a,1
39.843, s,1
40.91,a,1
71.074, s,1
71.875,a,1
75.346, s,1
76.145,a,1
109.512, s,1
111.114,a,1
133.27, s,1
135.94,a,1
163.968, s,1
165.569,a,1
177.581, s,1
181.585,a,1
189.063, s,1
195.732, d,1
198.672, o,1
201.342, p,1
206.677, o,1
215.753, m,1
219.49, s,1
221.358,a,1
223.494, s,1
227.765,a,1
232.036, s,1
234.972, d,1
237.373, o,1
238.175, p,1
241.912, o,1
246.45, d,1
248.052, s,1
248.851,a,1
250.721, s,1
254.992, m,1
257.127, o,1
263.534, d,1
264.601, s,1
265.668,a,1
268.072, s,1
273.944,a,1
277.68, s,1
282.485, d,1
284.088, m,1
286.757, s,1
287.824,a,1
300.103, s,1
300.807,END,0
