time,code,class
0.475,a,1
19.958, s,1
20.226,a,1
39.243, s,1
39.779,a,1
49.385, s,1
49.653,a,1
70.743, s,1
71.277,a,1
75.016, s,1
76.081,a,1
95.566, s,1
95.834,a,1
109.482, s,1
111.084,a,1
133.236, s,1
136.173,a,1
164.203, s,1
165.538,a,1
177.816, s,1
181.554,a,1
189.828, s,1
195.168, d,1
198.906, o,1
201.308, p,1
206.911, o,1
215.185, d,1
215.721, m,1
219.455, s,1
220.793,a,1
223.227, s,1
227.499,a,1
232.302, s,1
233.639, d,1
234.705, m,1
237.375, o,1
238.177, p,1
241.247, o,1
244.183, m,1
246.053, s,1
248.986,a,1
250.32, s,1
254.592, d,1
255.125, m,1
257, o,1
262.599, d,1
263.666, m,1
263.937, s,1
265.803,a,1
267.938, s,1
273.543,a,1
277.548, s,1
281.553, d,1
282.086, m,1
286.092, s,1
287.424,a,1
299.971, s,1
300.904,END,0
300.904,END,0
