time,code,class
0.795,p,1
30.324,o,1
36.862,p,1
50.845,o,1
51.511,p,1
80.475,o,1
85.544,d,1
87.815,s,1
88.881,a,1
94.087,s,1
96.09,d,1
97.29,o,1
98.358,p,1
117.678,o,1
119.546,m,1
123.416,o,1
124.619,p,1
136.765,o,1
139.298,m,1
141.767,o,1
144.57,p,1
145.37,o,1
149.777,d,1
152.045,s,1
153.914,a,1
160.72,s,1
164.49,d,1
167.292,o,1
168.893,p,1
171.666,o,1
173.798,m,1
178.603,s,1
179.54,a,1
184.476,s,1
187.813,a,1
195.687,s,1
196.356,a,1
220.112,s,1
220.513,a,1
249.474,s,1
250.175,a,1
261.019,s,1
263.255,a,1
293.62,s,1
294.689,a,1
300.828,END,0
