time,code,class
3.241,a,1
44.084, s,1
44.616,a,1
51.553, s,1
51.823,a,1
71.574, s,1
71.845,a,1
144.45, s,1
145.517, d,1
146.316, o,1
147.916, p,1
151.119, o,1
151.387, p,1
154.058, o,1
157.793, p,1
161.264, o,1
163.665, d,1
166.869, s,1
168.205,a,1
171.676, s,1
176.745,a,1
179.683, s,1
186.622,a,1
197.299, s,1
200.238, d,1
203.171, o,1
204.778, p,1
210.112, o,1
212.514, d,1
213.582, s,1
215.184,a,1
219.455, s,1
224.53, d,1
226.928, o,1
229.065, p,1
238.14, o,1
241.347, m ,1
245.081, d,1
245.347, s,1
246.416,a,1
251.224, s,1
254.423, m ,1
260.566, o,1
264.833, d,1
265.367, m ,1
276.044, d,1
276.316, s,1
277.382,a,1
285.655, s,1
288.857, m ,1
296.956, o,1
299.692, d,1
300.593,END,0
