time,code,class
0.723,a,1
7.265,s,1
8.599,d,1
10.467,o,1
11.271,p,1
13.405,o,1
25.384,d,1
26.717,m,1
28.784,d,1
29.051,s,1
30.919,a,1
35.725,s,1
36.792,a,1
39.729,s,1
41.33,d,1
43.466,m,1
43.834,d,1
44.633,o,1
45.434,p,1
47.57,o,1
49.438,p,1
65.455,o,1
67.59,p,1
71.062,o,1
71.598,p,1
83.607,o,1
88.947,d,1
95.084,s,1
97.758,d,1
98.554,m,1
115.604,d,1
116.408,o,1
128.153,d,1
128.417,m,1
129.489,d,1
130.286,s,1
139.895,d,1
146.035,o,1
157.525,p,1
160.719,o,1
167.923,d,1
168.19,m,1
170.327,d,1
170.595,s,1
174.596,a,1
178.601,s,1
179.134,a,1
192.214,s,1
197.553,s,1
198.354,a,1
202.091,s,1
206.895,a,1
244.533,s,1
247.469,a,1
253.877,s,1
256.011,a,1
270.694,s,1
272.561,a,1
277.899,s,1
291.278,d,1
291.582,m,1
294.014,d,1
294.63,o,1
299.796,END,0
