time,code,class
0.023,a,1
0.311,a,1
6.72, s,1
8.319, d,1
9.387, m,1
0.448,a,1
6.653, s,1
8.456, d,1
10.058, o,1
11.056, p,1
23.673, o,1
25.27, m,1
25.675, d,1
26.473, m,1
28.276, d,1
28.673, s,1
30.879,a,1
35.685, s,1
36.682,a,1
39.889, s,1
41.289, d,1
43.092, m,1
44.091, o,1
45.493, p,1
48.294, o,1
49.296, p,1
65.313, o,1
66.716, p,1
71.118, o,1
71.521, p,1
86.133, o,1
88.936, d,1
94.74, s,1
97.745, m,1
115.361, o,1
127.973, m,1
129.375, s,1
139.787, d,1
145.991, o,1
157.807, p,1
165.812, o,1
167.816, m,1
170.617, s,1
174.221,a,1
178.628, s,1
179.426,a,1
196.042, s,1
197.845,a,1
246.093,a,1
246.492, s,1
247.294,a,1
284.936, s,1
291.136, m,1
293.541, d,1
294.541, o,1
299.942,END,0
