time,code,class
4.353,a,1
7.289, s,1
8.621, d,1
10.488, o,1
11.024, p,1
13.162, o,1
13.96, p,1
23.838, o,1
26.239, d,1
27.573, m,1
28.909, s,1
31.044,a,1
35.583, s,1
37.183,a,1
39.853, s,1
41.453, d,1
44.124, o,1
49.462, p,1
65.476, o,1
67.616, p,1
71.084, o,1
71.62, p,1
83.898, o,1
89.234, d,1
94.576, s,1
100.178, m,1
116.489, d,1
117.563, o,1
127.942, d,1
129.811, m,1
130.878, s,1
140.221, d,1
146.093, o,1
157.571, p,1
162.375, o,1
168.516, d,1
169.318, m,1
170.652, d,1
171.452, s,1
174.655,a,1
178.392, s,1
179.726,a,1
192.804, s,1
198.411,a,1
202.415, s,1
206.952,a,1
244.858, s,1
247.528,a,1
254.2, s,1
256.068,a,1
272.35, s,1
272.886,a,1
278.761, s,1
292.104, d,1
292.372, m,1
294.508, d,1
295.843, o,1
299.755,END,0
