time,code,class
0.023,o,1
3.583,p,1
6.785,o,1
7.053,p,1
10.256,o,1
11.861,d,1
12.324,m,1
14.995,d,1
16.062,s,1
16.866,a,1
36.616,s,1
37.018,a,1
41.021,s,1
42.088,a,1
53.569,s,1
57.573,a,1
63.313,s,1
64.111,a,1
86.267,s,1
87.6,a,1
96.544,s,1
97.343,a,1
100.814,s,1
109.355,d,1
114.56,s,1
118.297,m,1
124.438,s,1
125.238,a,1
127.107,s,1
130.042,d,1
133.246,m,1
137.25,s,1
138.05,a,1
144.192,s,1
145.524,d,1
146.593,m,1
148.194,o,1
148.194,d,1
153.655,m,1
155.535,s,1
156.337,a,1
168.615,s,1
170.487,a,1
209.956,s,1
213.426,d,1
214.761,m,1
223.202,o,1
226.939,p,1
245.827,o,1
247.961,p,1
255.604,o,1
256.669,p,1
261.106,o,1
262.443,p,1
266.445,o,1
268.047,p,1
275.257,o,1
276.589,p,1
278.725,o,1
280.327,p,1
283.531,o,1
285.664,p,1
287.533,o,1
289.135,p,1
293.808,o,1
294.419,p,1
298.394,o,1
299.303,p,1
299.609,END,0
