time,code,class
0.023,a,1
12.458, s,1
14.526, d,1
15.059, m,1
21.204, d,1
22.769, m,1
27.439, d,1
27.941, s,1
30.543,a,1
36.213, s,1
38.249, d,1
41.323, o,1
44.922, p,1
46.428, o,1
48.961, m,1
52.098, d,1
53.697, s,1
54.198,a,1
60.405, s,1
61.443,a,1
67.078, s,1
70.721, m,1
75.953, d,1
79.559, s,1
80.564,a,1
91.871, s,1
94.439,a,1
117.53, s,1
118.064,a,1
120.103, s,1
121.701,a,1
123.801, s,1
124.837,a,1
132.644, s,1
134.212,a,1
140.956, s,1
142.019,a,1
182.765, s,1
187.398, m,1
190.472, o,1
194.606, p,1
198.676, o,1
200.781, d,1
202.313, s,1
203.816,a,1
207.484, s,1
214.626, d,1
217.697, o,1
220.268, p,1
222.4, o,1
226.47, d,1
227.972, s,1
231.576,a,1
236.182, s,1
238.815, m,1
244.522, o,1
247.025, p,1
250.597, o,1
252.197, d,1
254.331, s,1
256.367,a,1
262.073, s,1
263.14, m,1
271.851, s,1
274.384,a,1
276.422, s,1
278.491, m,1
281.627, o,1
284.764, m,1
288.301, s,1
289.44,a,1
299.132,END,0
