time,code,class
0.023, p,1
1.353, o,1
26.179, m,1
50.907, s,1
51.437,a,1
54.373, s,1
55.173, d,1
56.242, o,1
56.776, p,1
59.98, o,1
71.457, m,1
80.699, s,1
81.237,a,1
82.301, s,1
83.102, d,1
84.437, o,1
85.805, p,1
90.342, o,1
91.677, m,1
117.869, d,1
118.136, o,1
118.403, p,1
123.742, o,1
124.277, p,1
134.453, o,1
134.986, m,1
152.872, s,1
153.406,a,1
157.676, s,1
160.345,a,1
167.819, s,1
172.09, d,1
172.624, m,1
180.365, s,1
181.433,a,1
184.904, s,1
192.377, d,1
198.517, o,1
201.19, p,1
203.855, o,1
204.824, m,1
230.148, s,1
230.416, m,1
240.826, s,1
241.359,a,1
248.3, s,1
251.77, d,1
253.906, o,1
255.507, p,1
259.244, o,1
260.579, p,1
264.049, o,1
266.985, d,1
269.12, s,1
271.523,a,1
277.663, s,1
278.997,a,1
291.277, s,1
291.277,END,0
