time,code,class
0.733,o,1
26.393,m,1
51.117,s,1
52.182,a,1
54.585,s,1
55.384,d,1
56.452,o,1
57.257,p,1
60.19,o,1
71.838,m,1
80.747,s,1
81.282,a,1
82.346,s,1
83.146,d,1
84.48,o,1
86.083,p,1
90.887,o,1
91.955,m,1
118.35,o,1
119.417,p,1
123.42,o,1
124.22,p,1
134.466,o,1
135.532,m,1
153.218,s,1
153.752,a,1
157.758,s,1
160.423,a,1
167.967,s,1
172.239,d,1
173.036,m,1
180.612,s,1
181.679,a,1
184.616,s,1
192.355,d,1
198.762,o,1
201.431,p,1
203.936,o,1
205.003,m,1
230.228,s,1
231.029,d,1
233.83,m,1
240.706,s,1
241.504,a,1
248.447,s,1
252.184,d,1
253.784,o,1
255.652,p,1
259.391,o,1
260.225,p,1
262.96,o,1
266.495,d,1
269.535,s,1
272.206,a,1
277.678,s,1
279.279,a,1
291.485,s,1
293.656,d,1
295.537,o,1
297.093,m,1
299.903,END,0
