time,code,class
0.735, m,1
4.204, s,1
4.471, m,1
23.658, d,1
24.724, s,1
25.792,a,1
30.063, s,1
32.198, d,1
34.869, o,1
36.203, p,1
38.873, o,1
39.939, m,1
47.948, o,1
49.015, p,1
54.087, o,1
54.888, p,1
130.701, o,1
131.498, p,1
136.036, o,1
143.243, d,1
144.844, s,1
146.213,a,1
153.954, s,1
158.224, m,1
163.563, d,1
165.698, s,1
167.835,a,1
171.304, s,1
175.308, m,1
185.453, o,1
186.786, p,1
189.189, o,1
192.659, d,1
195.863, s,1
197.464,a,1
201.469, s,1
206.272, m,1
212.146, d,1
214.815, o,1
220.955, d,1
223.356, m,1
234.301, s,1
235.368,a,1
300.133,END,0
