time,code,class
1.179, m,1
24.301, d,1
25.302, s,1
26.304,a,1
30.376, s,1
32.445, d,1
35.546, o,1
37.082, p,1
39.184, o,1
39.184, m,1
48.798, o,1
49.33, p,1
55, o,1
55.501, p,1
131.742, o,1
132.744, p,1
136.849, o,1
143.587, d,1
145.622, s,1
146.624,a,1
154.932, s,1
159.604, m,1
164.176, d,1
166.21, s,1
168.283,a,1
171.951, s,1
175.554, m,1
187.004, o,1
188.036, p,1
190.136, o,1
193.175, d,1
196.277, s,1
197.875,a,1
200.911, s,1
207.054, m,1
212.728, d,1
215.326, o,1
222.032, d,1
224.102, m,1
234.481, s,1
235.516,a,1
300.133,END,0
