time,code,class
0.127,m,1
3.582,d,1
4.95,s,1
5.217,d,1
5.483,m,1
23.902,d,1
24.969,s,1
26.039,a,1
30.041,s,1
32.176,d,1
35.114,o,1
36.717,p,1
38.316,o,1
39.921,d,1
40.187,m,1
47.925,d,1
48.462,o,1
49.26,p,1
54.065,o,1
55.136,p,1
68.479,o,1
72.221,p,1
101.046,o,1
101.847,p,1
114.391,o,1
114.659,p,1
130.142,o,1
131.742,p,1
134.68,o,1
143.22,d,1
145.089,s,1
145.89,a,1
153.899,s,1
158.435,d,1
158.97,m,1
163.507,d,1
165.642,s,1
168.045,a,1
171.249,s,1
175.252,d,1
175.523,m,1
185.13,d,1
185.397,o,1
186.732,p,1
189.134,o,1
192.604,d,1
196.074,s,1
197.953,a,1
200.615,s,1
206.485,d,1
206.752,m,1
212.09,d,1
214.759,o,1
220.898,d,1
223.567,m,1
234.246,d,1
234.512,s,1
235.85,a,1
271.352,s,1
272.684,a,1
287.367,s,1
287.899,a,1
300.133,END,0
