time,code,class
2.549,a,1
22.897, s,1
23.935,a,1
45.859, s,1
47.927, m,1
66.743, s,1
68.813,a,1
77.123, s,1
79.691, m,1
85.991, o,1
87.561, p,1
120.631, o,1
126.303, p,1
150.231, o,1
151.799, p,1
163.811, o,1
165.373, p,1
171.549, o,1
173.087, p,1
179.787, o,1
180.793, p,1
187.567, o,1
193.301, m,1
213.621, s,1
219.401,a,1
224.635, s,1
225.705, m,1
238.689, s,1
239.717,a,1
244.891, s,1
246.487,m,1
254.305, s,1
254.833,a,1
297.507, s,1
298.037,a,1
299.577,END,0
