time,code,class
0.023,a,1
3.328,s,1
7.335,m,1
10.535,d,1
12.938,o,1
16.676,p,1
19.077,o,1
20.947,d,1
22.28,s,1
26.818,a,1
43.438,s,1
46.105,m,1
48.241,o,1
52.244,p,1
54.914,o,1
58.116,d,1
58.649,m,1
61.052,s,1
63.29,a,1
71.534,s,1
72.864,a,1
83.174,s,1
85.577,a,1
95.62,s,1
96.155,d,1
98.089,o,1
100.06,p,1
116.645,o,1
117.975,d,1
121.445,s,1
124.115,a,1
132.657,s,1
134.794,m,1
136.128,o,1
136.928,p,1
140.399,o,1
142.003,p,1
173.766,o,1
176.168,d,1
178.302,s,1
182.575,a,1
187.179,s,1
188.781,d,1
190.114,o,1
191.783,p,1
203.431,o,1
204.228,p,1
215.208,o,1
216.807,p,1
233.224,o,1
233.758,p,1
240.634,o,1
241.7,p,1
254.445,o,1
255.513,p,1
266.659,o,1
267.729,p,1
271.464,o,1
273.064,p,1
281.039,o,1
282.64,p,1
284.775,o,1
285.577,p,1
287.983,o,1
288.784,p,1
296.938,o,1
297.551,p,1
299.984,END,0
