time,code,class
1.618,a,1
4.23, s,1
6.862, m,1
12.028, d,1
14.1, o,1
17.734, p,1
19.804, o,1
22.91, d,1
23.938, s,1
26.54,a,1
44.126, s,1
46.196, m,1
48.772, o,1
51.9, p,1
56.038, o,1
59.706, m,1
61.776, s,1
63.348,a,1
70.65, s,1
73.224,a,1
83.102, s,1
84.67,a,1
94.48, s,1
97.112, d,1
99.186, o,1
104.886, p,1
117.33, o,1
118.864, d,1
121.944, s,1
125.042,a,1
133.316, s,1
134.858, m,1
136.924, o,1
139.002, p,1
141.564, o,1
142.622, p,1
169.55, o,1
171.092, p,1
175.256, o,1
177.792, d,1
179.834, s,1
182.398,a,1
187.604, s,1
189.146, d,1
191.206, o,1
192.238, p,1
204.158, o,1
205.218, p,1
216.64, o,1
217.172, p,1
234.388, o,1
234.388, p,1
255.37, o,1
256.444, p,1
266.756, o,1
267.79, p,1
272.936, o,1
274.458, p,1
282.17, o,1
283.232, p,1
288.436, o,1
289.47, p,1
297.278, o,1
297.812, p,1
300.114,END,0
