time,code,class
1.55,p,1
9.268,o,1
13.005,d,1
15.14,m,1
15.942,d,1
17.58,s,1
18.643,a,1
22.647,s,1
25.286,d,1
25.552,m,1
26.355,d,1
26.651,o,1
28.519,p,1
30.124,o,1
32.256,d,1
33.858,m,1
34.662,d,1
34.928,s,1
36.796,a,1
42.667,s,1
44.006,d,1
44.272,m,1
45.073,d,1
45.87,o,1
46.672,p,1
54.546,o,1
57.482,d,1
58.287,m,1
59.35,d,1
59.617,s,1
60.952,a,1
75.1,s,1
76.168,a,1
84.981,s,1
85.243,a,1
90.314,s,1
90.584,a,1
98.59,s,1
99.127,a,1
110.335,s,1
112.471,d,1
112.739,m,1
113.276,d,1
113.806,o,1
115.406,p,1
117.275,o,1
118.876,d,1
120.479,m,1
121.015,d,1
121.547,s,1
123.152,a,1
132.224,s,1
134.363,d,1
134.893,m,1
135.429,d,1
135.961,o,1
137.832,p,1
142.101,o,1
144.238,p,1
155.45,o,1
157.048,p,1
159.451,o,1
160.52,p,1
171.462,o,1
172.801,p,1
177.072,o,1
178.136,p,1
192.553,o,1
194.421,p,1
201.359,o,1
201.897,p,1
205.9,o,1
206.965,p,1
209.37,o,1
210.437,p,1
219.788,o,1
220.845,p,1
223.516,o,1
224.584,p,1
229.387,o,1
230.192,p,1
234.994,o,1
235.794,p,1
239.797,o,1
240.331,p,1
246.471,o,1
247.005,p,1
249.676,o,1
250.474,p,1
254.215,o,1
255.279,p,1
264.891,o,1
266.49,p,1
271.563,o,1
272.097,p,1
282.776,o,1
283.308,p,1
297.786,o,1
298.397,p,1
299.923,END,0
