time,code,class
1.324, p,1
10.624, o,1
13.702, m,1
17.336, s,1
19.438,a,1
24.11, s,1
26.178, m,1
28.218, o,1
28.744, p,1
31.35, o,1
33.414, m,1
35.486, s,1
37.092,a,1
43.404, s,1
44.428, m,1
45.992, o,1
47.498, p,1
56.338, o,1
58.384, m,1
59.972, s,1
61.516,a,1
85.972, s,1
85.972,a,1
111.368, s,1
113.434, m,1
115.472, o,1
115.472, p,1
118.098, o,1
120.142, m,1
122.744, s,1
123.806,a,1
133.252, s,1
135.32, m,1
136.36, o,1
137.386, p,1
142.064, o,1
144.124, p,1
156.078, o,1
157.638, p,1
160.206, o,1
161.21, p,1
172.554, o,1
173.562, p,1
178.298, o,1
178.828, p,1
194.046, o,1
196.084, p,1
207.062, o,1
207.59, p,1
210.196, o,1
210.724, p,1
220.504, o,1
221.536, p,1
224.104, o,1
224.61, p,1
230.28, o,1
230.784, p,1
235.49, o,1
236.518, p,1
247.398, o,1
247.93, p,1
250.532, o,1
251.574, p,1
254.678, o,1
255.706, p,1
265.516, o,1
266.548, p,1
272.794, o,1
272.794, p,1
283.632, o,1
284.134, p,1
298.58, o,1
299.622, p,1
299.622,END,0
