time,code,class
2.35, d,1
3.683, o,1
5.821, p,1
9.154, o,1
10.521, d,1
11.856, s,1
13.731,a,1
24.136, s,1
26.274, d,1
27.608, o,1
28.673, p,1
32.676, o,1
35.887, m,1
37.215, s,1
38.284,a,1
42.286, s,1
44.422, d,1
46.024, o,1
47.629, p,1
51.631, o,1
52.968, d,1
54.034, s,1
55.371,a,1
62.841, s,1
64.444, d,1
66.045, o,1
68.713, p,1
71.919, o,1
72.984, d,1
74.318, s,1
75.656,a,1
78.59, s,1
80.73,a,1
85.798, s,1
86.601,a,1
91.137, s,1
92.471, d,1
94.072, o,1
95.144, p,1
97.544, o,1
99.143, d,1
100.48, s,1
102.35,a,1
105.285, s,1
106.083,a,1
125.842, s,1
127.174, d,1
129.577, o,1
133.045, p,1
140.517, o,1
143.454, m,1
146.159, s,1
147.762,a,1
156.033, s,1
159.239,a,1
166.178, s,1
170.715, d,1
172.051, o,1
172.318, p,1
175.252, o,1
178.457, m,1
181.932, s,1
183.262,a,1
192.873, s,1
194.74,a,1
197.675, s,1
199.012, d,1
200.614, o,1
203.815, p,1
208.089, o,1
209.959, d,1
211.023, s,1
212.623,a,1
294.31, s,1
295.105,a,1
300.678,END,0
