time,code,class
0.991, s,1
2.058,a,1
5.796, s,1
8.198,a,1
15.939, s,1
18.074,a,1
29.286, s,1
30.086,a,1
33.022, s,1
37.56, d,1
40.764, o,1
43.433, p,1
53.844, o,1
55.178, d,1
56.781, s,1
58.649,a,1
62.386, s,1
63.721,a,1
75.466, s,1
76.266,a,1
80.004, s,1
81.07,a,1
84.275, s,1
85.609,a,1
100.558, s,1
101.624,a,1
128.853, s,1
129.652,a,1
133.122, s,1
135.792,a,1
141.397, s,1
141.931,a,1
144.868, s,1
145.668,a,1
155.813, s,1
156.08,a,1
177.7, s,1
178.668,a,1
196.554, s,1
197.354,a,1
200.024, s,1
202.692,a,1
205.896, s,1
208.565,a,1
212.57, s,1
214.17,a,1
226.45, s,1
227.517,a,1
237.66, s,1
240.064,a,1
248.606, s,1
249.672,a,1
258.748, s,1
261.15,a,1
275.566, s,1
277.968,a,1
290.78, s,1
291.315,a,1
295.319, s,1
300.59,END,0
