time,code,class
0.778, o,1
2.646, p,1
7.184, o,1
7.451, p,1
10.654, o,1
10.921, p,1
15.726, o,1
17.061, p,1
34.144, o,1
36.012, p,1
38.948, o,1
39.483, p,1
44.821, o,1
45.622, p,1
54.164, o,1
55.232, p,1
61.104, o,1
63.24, p,1
74.451, o,1
77.12, m,1
80.324, s,1
84.862,a,1
86.196, s,1
87.531, d,1
90.2, o,1
91.802, p,1
96.339, o,1
97.941, m,1
101.68, s,1
104.616,a,1
106.216, s,1
107.551, d,1
109.419, o,1
111.554, p,1
114.491, o,1
115.558, p,1
129.978, o,1
132.109, d,1
133.71, s,1
137.447,a,1
144.121, s,1
148.659, d,1
150.526, o,1
152.93, p,1
167.077, o,1
167.343, p,1
170.28, o,1
174.017, d,1
175.618, s,1
178.822,a,1
187.296, s,1
189.433,a,1
192.903, s,1
193.437,a,1
217.995, s,1
219.062,a,1
238.552, s,1
239.082,a,1
243.887, s,1
245.76,a,1
256.165, s,1
256.967,a,1
264.708, s,1
265.775,a,1
268.979, s,1
269.78,a,1
286.863, s,1
287.396,a,1
298.607, s,1
299.676,a,1
301.68,END,0
