time,code,class
1.206, o,1
1.206, p,1
11.889, o,1
13.419, d,1
14.955, s,1
17.257,a,1
22.628, s,1
23.397, m,1
24.931, o,1
26.486, p,1
29.569, o,1
31.107, m,1
33.406, s,1
34.94,a,1
36.498, s,1
38.049, m,1
39.581, o,1
41.885, p,1
51.123, o,1
53.302, d,1
54.828, s,1
56.363,a,1
64.037, s,1
65.575, m,1
67.11, o,1
68.642, p,1
74.78, o,1
77.084, d,1
77.85, s,1
79.385,a,1
86.331, s,1
88.629, m,1
90.934, o,1
93.232, p,1
97.102, o,1
98.638, d,1
100.172, s,1
100.939,a,1
107.881, s,1
109.415, m,1
111.717, o,1
114.021, p,1
120.195, o,1
120.959, d,1
122.497, s,1
124.03,a,1
130.942, s,1
132.471, m,1
134.773, o,1
137.076, p,1
144.754, o,1
146.289, d,1
147.819, s,1
149.388,a,1
153.225, s,1
154.765, d,1
155.528, o,1
157.067, p,1
299.089,END,0
