time,code,class
0.023,o,1
3.408,p,1
10.982,o,1
11.783,d,1
13.653,s,1
16.055,a,1
21.062,s,1
22.661,m,1
23.995,o,1
25.865,p,1
28.269,o,1
29.869,m,1
31.207,s,1
33.072,a,1
35.474,s,1
37.076,m,1
38.68,o,1
41.881,p,1
51.056,o,1
52.392,d,1
53.725,s,1
55.327,a,1
63.304,s,1
64.904,m,1
66.238,o,1
69.177,p,1
74.549,o,1
75.647,d,1
76.982,s,1
79.152,a,1
86.024,s,1
87.36,m,1
91.632,o,1
92.164,p,1
96.138,o,1
97.203,d,1
98.538,s,1
100.674,a,1
107.312,s,1
109.182,m,1
112.318,o,1
113.385,p,1
119.992,o,1
120.792,d,1
121.594,s,1
123.463,a,1
126.933,s,1
128.27,a,1
131.103,s,1
131.906,m,1
135.076,o,1
137.213,p,1
143.463,o,1
144.784,d,1
146.454,s,1
149.287,a,1
151.157,s,1
152.491,d,1
153.56,o,1
154.893,p,1
158.6,o,1
159.397,p,1
164.436,o,1
165.771,p,1
180.419,o,1
180.956,p,1
187.494,o,1
188.294,p,1
203.341,o,1
204.41,p,1
211.452,o,1
212.253,p,1
214.387,o,1
215.189,p,1
224.83,o,1
227.236,p,1
240.614,o,1
241.948,p,1
257.629,o,1
258.435,p,1
275.947,o,1
279.151,p,1
299.545,END,0
