time,code,class
1.686, p,1
10.662, o,1
12.2, d,1
13.732, s,1
15.269,a,1
21.439, s,1
22.973, m,1
26.81, o,1
31.451, p,1
41.43, o,1
44.5, d,1
46.799, o,1
48.335, p,1
52.942, o,1
56.007, m,1
62.913, o,1
64.45, p,1
65.982, o,1
69.82, p,1
77.493, o,1
79.796, m,1
85.937, o,1
87.476, p,1
96.685, o,1
98.987, d,1
99.751, s,1
101.289,a,1
105.127, s,1
107.444, m,1
111.296, o,1
113.602, p,1
118.202, o,1
119.741, m,1
122.807, s,1
123.573,a,1
126.643, s,1
128.949, m,1
130.484, o,1
132.015, p,1
133.552, o,1
135.091, d,1
136.622, s,1
137.389,a,1
146.596, s,1
148.898, m,1
150.435, o,1
153.503, p,1
155.81, o,1
192.946, s,1
196.016,a,1
300.558,END,0
