time,code,class
0.023,p,1
7.49,o,1
10.961,d,1
12.562,s,1
14.697,a,1
19.703,s,1
21.841,m,1
25.775,o,1
30.58,p,1
31.915,o,1
33.52,p,1
40.991,o,1
43.393,d,1
45.529,o,1
46.329,p,1
52.137,o,1
54.538,m,1
62.18,o,1
63.247,p,1
65.116,o,1
69.118,p,1
76.73,o,1
78.596,m,1
84.067,o,1
85.406,p,1
93.076,o,1
96.546,d,1
97.885,s,1
100.02,a,1
104.721,s,1
106.591,m,1
110.893,o,1
113.3,p,1
117.102,o,1
118.434,m,1
119.502,d,1
120.303,s,1
122.709,a,1
125.375,s,1
126.71,m,1
128.85,o,1
130.984,p,1
132.049,o,1
133.383,d,1
134.719,s,1
136.322,a,1
145.829,s,1
147.7,m,1
149.835,o,1
152.77,p,1
154.905,o,1
156.24,d,1
157.575,s,1
159.978,a,1
187.47,s,1
188.805,a,1
206.29,s,1
207.36,a,1
237.389,s,1
238.723,a,1
300.606,END,0
