time,code,class
0.023,s,1
1.717,a,1
8.521,s,1
10.659,m,1
30.978,d,1
31.778,o,1
33.914,p,1
63.376,o,1
70.784,m,1
89.171,s,1
104.287,a,1
110.023,s,1
120.166,m,1
136.418,d,1
143.323,o,1
150.53,p,1
163.876,o,1
170.72,d,1
175.255,m,1
186.465,s,1
189.406,a,1
192.341,s,1
195.309,a,1
199.782,s,1
206.987,d,1
208.054,m,1
209.388,d,1
211.524,o,1
220.301,p,1
226.875,o,1
227.376,o,1
230.045,m,1
230.579,d,1
231.645,s,1
233.245,a,1
251.364,s,1
252.698,a,1
275.19,s,1
276.789,a,1
285.264,s,1
286.366,a,1
296.943,s,1
300.011,END,0
