time,code,class
0.057,d,1
1.397,m,1
2.464,d,1
2.998,s,1
6.732,a,1
17.009,s,1
21.619,d,1
25.452,o,1
30.824,d,1
32.358,o,1
33.895,p,1
41.569,o,1
46.175,d,1
50.777,s,1
57.684,a,1
65.359,s,1
68.427,a,1
75.335,s,1
79.406,d,1
82.474,o,1
84.777,p,1
87.516,o,1
91.351,d,1
94.422,s,1
101.327,a,1
104.397,s,1
105.931,a,1
114.376,s,1
115.908,a,1
122.052,s,1
127.821,d,1
134.727,s,1
136.262,a,1
146.24,s,1
149.311,a,1
164.659,s,1
166.961,a,1
183.076,s,1
185.377,a,1
199.961,s,1
203.799,a,1
263.989,s,1
265.527,a,1
299.433,s,1
300.349,END,0
