time,code,class
0.768,m,1
55.159,d,1
65.562,o,1
71.439,p,1
75.173,o,1
85.582,d,1
85.852,m,1
97.256,s,1
99.164,a,1
101.835,s,1
108.507,m,1
122.024,o,1
123.623,p,1
129.227,o,1
129.763,m,1
143.108,s,1
144.444,a,1
185.82,s,1
186.351,a,1
211.182,s,1
212.245,a,1
215.714,s,1
216.513,a,1
226.124,s,1
226.927,a,1
247.478,s,1
250.683,d,1
252.823,s,1
255.223,a,1
263.496,s,1
266.431,a,1
268.566,s,1
269.634,a,1
284.584,s,1
285.654,a,1
292.157,s,1
292.959,a,1
300.034,END,0
