time,code,class
1.109,s,1
4.844,m,1
9.382,o,1
11.253,p,1
30.47,o,1
32.873,m,1
36.08,s,1
44.351,a,1
47.288,s,1
49.426,d,1
52.093,o,1
56.098,p,1
59.301,o,1
62.769,p,1
70.513,o,1
73.182,p,1
85.193,o,1
89.196,m,1
93.469,s,1
100.139,a,1
103.879,s,1
105.478,a,1
109.216,s,1
111.086,a,1
113.753,s,1
115.356,a,1
132.706,s,1
136.446,d,1
140.716,o,1
145.252,p,1
147.653,o,1
150.326,p,1
153.792,o,1
155.131,p,1
161.001,o,1
161.8,p,1
170.078,o,1
173.813,m,1
183.957,o,1
196.775,m,1
199.972,s,1
203.18,m,1
207.716,s,1
210.918,a,1
213.854,s,1
214.39,a,1
219.726,s,1
228.271,d,1
232.275,o,1
237.342,p,1
240.547,o,1
241.346,p,1
250.957,o,1
252.559,p,1
276.049,o,1
277.115,p,1
278.451,o,1
279.521,p,1
299.912,END,0
