time,code,class
0.769, m,1
18.119, d,1
20.254, m,1
25.86, s,1
37.072,a,1
43.477, s,1
61.095, m,1
80.849, d,1
86.454, o,1
94.996, p,1
98.465, o,1
105.406, d,1
108.076, m,1
125.426, s,1
138.239, d,1
140.908, m,1
146.247, d,1
148.116, o,1
160.928, p,1
161.996, o,1
163.597, p,1
166.8, o,1
173.474, d,1
175.342, m,1
180.682, d,1
186.287, s,1
192.227,a,1
195.696, s,1
199.434, d,1
200.502, m,1
202.903, d,1
203.704, o,1
211.446, p,1
219.187, o,1
223.992, d,1
231.198, s,1
237.338, d,1
242.409, o,1
253.888, d,1
258.692, m,1
262.163, o,1
268.836, d,1
273.641, s,1
283.251, m,1
286.721, d,1
289.122, o,1
298.465, d,1
299.903,END,0
