time,code,class
0.023, m,1
18.088, d,1
20.758, m,1
25.294, s,1
38.676,a,1
43.48, s,1
60.565, d,1
60.829, m,1
80.583, d,1
86.455, o,1
94.997, p,1
98.202, o,1
105.142, d,1
108.078, m,1
123.826, d,1
125.693, s,1
138.24, d,1
140.911, m,1
145.979, d,1
148.118, o,1
160.93, p,1
161.999, o,1
163.6, p,1
166.8, o,1
173.208, d,1
175.345, m,1
180.95, d,1
186.021, s,1
192.162,a,1
195.365, s,1
198.301, d,1
200.17, m,1
202.575, d,1
203.64, o,1
211.645, p,1
219.121, o,1
223.928, d,1
231.399, s,1
237.041, d,1
243.18, o,1
254.122, d,1
259.196, m,1
261.596, d,1
262.13, o,1
269.07, d,1
273.609, s,1
282.954, d,1
283.22, m,1
285.888, d,1
289.09, o,1
297.9, d,1
299.904,END,0
