time,code,class
4.349, m,1
17.162, d,1
22.234, m,1
25.972, s,1
37.718,a,1
44.656, s,1
61.474, m,1
80.963, d,1
88.166, o,1
95.11, p,1
98.848, o,1
108.186, m,1
126.605, s,1
138.349, d,1
142.086, m,1
147.158, d,1
149.03, o,1
161.573, p,1
162.908, o,1
163.975, p,1
168.248, o,1
173.852, d,1
177.322, m,1
181.861, d,1
186.932, s,1
194.507,a,1
197.576, s,1
200.647, m,1
205.253, o,1
215.999, p,1
221.366, o,1
226.738, m,1
235.18, s,1
239.016, d,1
242.854, o,1
257.436, d,1
265.109, o,1
271.25, m,1
278.159, s,1
285.832, d,1
290.622, o,1
299.816, d,1
299.816,END,0
