time,code,class
1.023, d,1
28.779, m,1
45.462, d,1
45.73, o,1
48.938, p,1
52.138, o,1
54.308, m,1
61.547, d,1
62.348, m,1
111.995, d,1
112.53, s,1
116.267,a,1
121.607, s,1
123.477, d,1
124.276, m,1
172.022, d,1
172.561, o,1
175.762, d,1
176.829, m,1
188.241, d,1
195.712, o,1
203.189, p,1
209.599, o,1
212.263, d,1
212.8, m,1
229.617, d,1
229.88, s,1
233.352,a,1
250.202, s,1
255.008, d,1
256.341, m,1
259.279, d,1
268.119, s,1
270.521,a,1
287.341, s,1
290.808, d,1
291.343, m,1
293.478, d,1
294.177, o,1
298.45, p,1
300.493,END,0
