time,code,class
0.35, s,1
3.291, d,1
6.223, o,1
10.23, d,1
16.899, s,1
19.569,a,1
23.31, s,1
27.578, d,1
30.78, o,1
35.052, p,1
35.852, o,1
40.39, d,1
43.062, s,1
49.198,a,1
55.609, s,1
56.139,a,1
60.678, s,1
63.079,a,1
64.413, s,1
67.087, d,1
70.291, o,1
77.762, p,1
91.911, o,1
93.51, p,1
102.852, o,1
110.061, p,1
132.215, o,1
133.549, p,1
158.111, o,1
158.91, p,1
166.65, o,1
167.184, p,1
174.661, o,1
175.461, p,1
182.666, o,1
183.467, p,1
198.681, o,1
200.55, p,1
206.691, o,1
209.361, p,1
213.629, o,1
215.231, p,1
215.765, o,1
220.036, d,1
222.972, s,1
227.243, s,1
231.514, d,1
237.122, o,1
239.789, p,1
251.534, o,1
259.809, d,1
261.143, m,1
271.821, d,1
272.892, m,1
275.292, d,1
275.826, s,1
278.761,a,1
280.897, s,1
283.033, d,1
284.1, m,1
287.573, d,1
288.373, o,1
292.536, d,1
293.448, m,1
297.103, d,1
297.103, s,1
299.542,a,1
300.105,END,0
