time,code,class
0.374, m,1
5.718, d,1
7.317, s,1
11.053,a,1
23.066, s,1
27.334, d,1
30.006, o,1
35.078, p,1
43.885, o,1
45.753, d,1
47.623, s,1
50.558,a,1
57.231, s,1
58.833,a,1
63.905, s,1
65.507, d,1
66.311, m,1
67.376, d,1
67.908, o,1
69.782, p,1
78.053, o,1
79.653, d,1
81.523, s,1
83.66,a,1
87.128, s,1
92.667,a,1
102.281, s,1
103.344,a,1
127.902, s,1
130.308, d,1
132.173, o,1
133.778, p,1
135.38, o,1
136.982, p,1
140.715, o,1
142.317, d,1
144.185, s,1
146.321,a,1
155.131, s,1
156.731, d,1
159.4, o,1
161.803, p,1
172.215, o,1
173.814, p,1
180.488, o,1
183.162, d,1
184.76, s,1
187.163,a,1
189.299, s,1
191.433, d,1
193.568, o,1
197.309, p,1
200.241, o,1
202.381, p,1
211.987, o,1
212.791, p,1
218.659, o,1
220.531, d,1
222.397, s,1
223.998,a,1
243.484, s,1
246.42, d,1
248.827, o,1
252.026, p,1
255.5, o,1
258.165, p,1
263.242, o,1
265.377, d,1
267.78, s,1
269.914,a,1
278.185, s,1
280.855,a,1
285.13, s,1
286.463,a,1
291.013, s,1
292.235,a,1
295.594, s,1
296.204,a,1
297.115, s,1
298.632,a,1
300.097,END,0
