time,code,class
0.57, s,1
3.773,a,1
7.245, s,1
9.913, d,1
12.048, o,1
15.786, p,1
17.922, o,1
23.527, p,1
27.264, o,1
28.332, p,1
31.268, o,1
33.137, p,1
42.48, o,1
44.614, p,1
47.817, o,1
49.152, p,1
52.355, o,1
54.491, p,1
64.905, o,1
66.236, p,1
77.714, o,1
80.65, d,1
81.185, o,1
82.253, p,1
93.997, o,1
95.065, p,1
98.536, o,1
100.137, p,1
103.606, o,1
104.407, p,1
107.076, o,1
108.412, p,1
111.081, o,1
112.416, p,1
115.085, o,1
116.687, p,1
122.292, o,1
123.093, p,1
140.143, o,1
141.21, p,1
148.419, o,1
153.49, d,1
158.027, m,1
159.095, s,1
161.231,a,1
192.196, s,1
193.53,a,1
197.801, s,1
199.937,a,1
209.812, s,1
210.615,a,1
266.94, s,1
270.406, d,1
273.609, o,1
276.814, p,1
278.948, o,1
281.086, d,1
282.419, s,1
283.487,a,1
288.024, s,1
294.665,a,1
300.136,END,0
