time,code,class
0.093,s,1
4.108,a,1
7.578,s,1
9.98,d,1
12.116,o,1
15.852,p,1
17.989,o,1
23.593,p,1
31.602,o,1
35.605,p,1
42.545,o,1
44.681,p,1
52.422,o,1
54.291,p,1
65.236,o,1
71.375,p,1
77.781,o,1
83.921,p,1
99.67,o,1
100.471,p,1
103.674,o,1
104.208,p,1
107.144,o,1
108.478,p,1
111.414,o,1
112.75,p,1
115.151,o,1
116.487,p,1
122.359,o,1
123.693,p,1
139.977,o,1
141.579,p,1
148.519,o,1
153.856,d,1
159.196,s,1
159.462,s,1
161.064,a,1
198.168,s,1
200.036,a,1
210.714,s,1
211.781,a,1
269.439,s,1
270.773,d,1
273.977,o,1
277.18,p,1
279.316,o,1
281.451,d,1
282.519,s,1
283.587,a,1
288.925,s,1
294.798,a,1
300.038,END,0
