time,code,class
0.26, d,1
0.784, s,1
3.989,a,1
7.455, s,1
9.861, d,1
11.992, o,1
15.729, p,1
18.135, o,1
23.741, p,1
28.013, o,1
28.543, p,1
32.017, o,1
33.084, p,1
42.961, o,1
44.558, p,1
47.766, o,1
48.834, p,1
52.3, o,1
53.367, p,1
64.85, o,1
65.646, p,1
77.658, o,1
80.594, d,1
81.397, o,1
82.467, p,1
94.208, o,1
95.008, p,1
98.482, o,1
99.817, p,1
107.288, o,1
108.356, p,1
111.296, o,1
112.364, p,1
115.3, o,1
116.367, p,1
121.969, o,1
123.036, p,1
140.12, o,1
141.188, p,1
148.133, o,1
153.467, d,1
157.738, m,1
158.54, d,1
159.073, s,1
160.942,a,1
191.906, s,1
193.512,a,1
197.782, s,1
200.182,a,1
210.327, s,1
210.591,a,1
266.914, s,1
270.388, d,1
273.588, o,1
277.058, p,1
279.196, o,1
280.798, d,1
282.398, s,1
283.73,a,1
288.268, s,1
294.796,a,1
299.958,END,0
