time,code,class
8.011,a,1
30.833,s,1
32.034,d,1
34.032,o,1
36.034,p,1
37.638,o,1
40.04,p,1
50.048,o,1
52.855,m ,1
53.656,s,1
54.453,a,1
63.661,s,1
64.868,a,1
72.47,s,1
74.874,d,1
77.274,o,1
80.88,d,1
82.48,s,1
85.683,a,1
86.884,s,1
89.291,a,1
92.089,s,1
95.693,d,1
98.1,o,1
100.1,p,1
101.304,o,1
102.101,d,1
104.503,s,1
106.103,a,1
108.107,s,1
109.707,a,1
124.126,s,1
126.929,a,1
130.932,s,1
133.33,d,1
135.337,o,1
138.541,p,1
150.953,o,1
152.951,d,1
154.552,s,1
156.153,a,1
157.355,s,1
159.758,d,1
160.562,s,1
162.159,a,1
164.168,s,1
166.568,a,1
170.969,s,1
174.572,a,1
177.775,s,1
180.58,a,1
182.581,s,1
185.788,a,1
188.587,s,1
194.995,a,1
197.396,s,1
199.797,d,1
203,o,1
205.403,p,1
207.409,o,1
211.009,d,1
212.613,s,1
214.612,a,1
217.82,s,1
220.218,d,1
222.224,o,1
227.83,p,1
232.635,o,1
239.437,p,1
248.646,o,1
249.047,p,1
257.856,o,1
259.862,d,1
261.464,s,1
262.659,d,1
263.866,o,1
265.467,p,1
267.469,o,1
267.866,p,1
270.668,o,1
273.076,d,1
274.677,s,1
281.084,a,1
283.085,s,1
287.89,a,1
289.487,s,1
292.66,d,1
295.873,s,1
300.077,a,1
300.077,END,0
