time,code,class
4.204,d,1
23.691,o,1
29.029,p,1
32.767,o,1
37.038,m,1
68.803,d,1
69.337,s,1
74.942,a,1
83.217,s,1
85.352,m,1
94.694,o,1
97.632,p,1
99.501,o,1
102.169,d,1
105.907,s,1
108.842,a,1
114.18,s,1
116.584,m,1
123.524,o,1
124.325,p,1
126.993,o,1
130.998,d,1
133.4,s,1
136.07,a,1
154.755,s,1
158.759,d,1
160.093,o,1
162.229,p,1
167.034,o,1
168.636,m,1
176.644,s,1
179.046,a,1
183.851,s,1
186.519,d,1
187.054,m,1
193.994,o,1
199.867,p,1
204.538,o,1
205.605,p,1
211.745,o,1
213.079,p,1
220.82,o,1
226.427,d,1
227.762,s,1
230.964,a,1
263.799,s,1
265.666,a,1
299.201,END,0
